A0,A1,A2,A3
-6.173469886278324,-5.687625879646307,-6.129512036694292,-6.307000728422773
-5.726741606343793,-4.673487322598297,-5.7448451627652455,-5.9201339904219585
-5.122921061956182,-3.5861017438234164,-4.598402017342192,-5.232329624220752
-3.495606849277415,-2.3833893239258224,-3.189179016055111,-4.282975501559662
-2.4076010041174754,0.05797673787389939,-1.7757136151061736,-3.295414012360936
0.16799797440712144,1.3174323646141297,0.21039525172135778,0.010552109980486437
1.0009371844372328,1.3080278820519298,0.9372144020351344,0.8541485509152037
1.0261195843404756,1.5912436018890352,1.3329737139079711,1.2533605233943796
1.233569612497822,1.4029321034995257,1.8709018584230082,1.3961458751978202
1.539435153679324,1.2606278518919967,1.8421471719277906,1.4304062922407892
-5.997894314945298,-6.775555581270105,-6.842144682895467,-6.247478710708742
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.311124845879798,0.1577150397918239,0.08845111750156698,0.3043775546211375
1.1905169794423907,1.1201860700204553,0.8259857675814377,1.0881956694324635
1.4620153112008998,1.0181282520387103,-0.11815645431439582,1.1520839854251599
1.3914879083617764,1.946964688412253,1.2880459900635568,1.4665412999146992
0.0,0.0,0.0,0.0
-6.383541983102491,-7.011203458712326,-7.1491151001323425,-6.873511103886302
0.0,0.0,0.0,0.0
-9.03141875874098,-6.370684304782444,-9.506105343770814,-10.257817054369971
-7.491921998318038,-3.732653087867564,-8.477444410281782,-7.214466650096875
-3.915359877652127,-0.5800848381347405,-5.8683462794116235,-4.725053458077386
1.1671146597950408,-0.7351741052734316,-2.742419651325187,-1.5234244487182242
0.2747699171737996,0.09514063130560536,-0.13269909096898497,0.6884764039025385
1.160718759636666,0.3528902994609524,-1.2421186044604833,0.6753676261746558
1.117696223860131,0.38915321622627785,0.1885127868823201,0.4597154085885009
0.0,0.0,0.0,0.0
-6.691224745859343,-7.443501468298672,-7.342435346583264,-7.462479901329939
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-2.109482682155455,-7.117525167758717,-7.226932100156588,-7.4502962532355825
0.2687235000227245,-1.673148173475336,-3.8988638826598874,-4.787832194427871
0.3641459193337239,-1.8199147978700017,-2.7493755775517887,-3.3887912878282522
-0.24599418308895482,-0.7571218028714466,-1.097911650434836,-0.904687130095991
-0.3921804142228228,-0.5531505997144309,-0.5521330866442664,-0.7362948938307879
0.0,0.0,0.0,0.0
-7.232756719232969,-7.529787445239832,-7.727597373214278,-7.838271785464499
-8.506596789828127,-8.113886606074677,-8.215634667134278,-7.594060763670266
-8.661154857933443,-8.57030171116598,-8.580152145530825,-7.889742994276739
-8.563388868247872,-8.019171764760836,-8.622153077563567,-8.551160458895922
-6.349226850955224,-9.31079186608566,-7.616445456755953,-8.70854721646844
-6.638516796739437,-3.7334452888008927,-6.211877359457491,-7.2658885288392
-1.0613877898168538,-3.7714581559456253,-4.25960075134137,-4.73252826402618
0.0,0.0,0.0,0.0
-0.4918208735412038,-0.4106451797025753,-0.38852072127826986,-0.46075269627983134
0.0,0.0,0.0,0.0
-7.442930377167234,-8.443643084587627,-8.269657508122402,-8.497130641721741
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.24912918768824405,-1.1570914242049204,-1.1851790218056022,-1.0551736956223923
0.0,0.0,0.0,0.0
-8.096856519603637,-8.749708114986039,-8.978603062995296,-8.475007601919613
-9.409431356781756,-9.357838785391943,-9.163310669533693,-8.868774272299227
-9.585866393380597,-9.69635806245189,-9.206187781239944,-9.190532856874832
-10.05020647621789,-9.922581141076135,-9.927874841140309,-9.436730050716667
-10.042470706415557,-10.473924578828465,-10.309269822722744,-9.58278191442058
-10.45940047968973,-10.833463882872193,-10.981640522794926,-9.872304025891701
-11.465557747511783,-11.110723026184786,-11.204777018443247,-10.318915465012532
0.0,0.0,0.0,0.0
-0.537472735213995,-2.3939788988971293,-2.7810298941251985,-2.728076465749592
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-10.601970489440445,-11.818460633659816,-11.669341531323143,-11.387235764074163
0.0,0.0,0.0,0.0
-2.396220443390138,-3.1639035136831044,-3.49533625859917,-3.2542868999078745
0.0,0.0,0.0,0.0
-13.544016494564366,-12.950330661341246,-13.444692494066196,-13.751873292573185
-13.49915801990364,-12.88516244429408,-13.517520993183698,-13.445057093248314
-13.36708742181315,-12.69813933216978,-13.119518273951341,-13.16306026473033
-12.666196880799069,-12.3937717541108,-12.937663009372272,-12.767265964152418
-12.353850645733207,-11.76566308208144,-12.260197959659438,-12.768741679187162
-11.946701260012691,-11.354988696876445,-11.910798442360091,-12.067484226830913
-10.888555938563458,-11.729808848261415,-11.872117587229681,-11.583861595993447
0.0,0.0,0.0,0.0
-2.5505498713702544,-4.266444664688593,-4.8819849588441215,-3.7535088037744244
-6.285607393523851,-6.0002804117677595,-5.140242179280571,-4.040170774961435
-13.120195592313957,-13.670917726764243,-13.708144264950056,-13.626586754363764
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-2.8603642196385,-5.612271952668494,-4.987115300815867,-5.45181899177661
-5.38444885107433,-6.624128031635891,-5.518449776058423,-4.130637358516026
-13.421574109572546,-13.985933635384965,-14.21845474528424,-13.912118671512127
-14.058928561737073,-14.216988646850622,-14.32005876974448,-13.51963088728728
-14.394894141510608,-14.794599268425138,-14.625465013484414,-13.931285094592962
-14.781963661894096,-14.83796166253574,-14.943471932844814,-14.136182821480263
-15.099092632499131,-10.421595235204395,-13.65260880938134,-14.30785667606399
