A0,A1,A2,A3
-5.972596049889194,-1.6635007697747877,-5.877545640752385,-5.902528876838471
-5.35416628875177,-0.7616536802652336,-5.466770466871204,-5.0275067214006
-4.370264266812949,-0.05225201744007056,-4.488553509682824,-2.998878509459446
-3.815693839689766,0.06123953123845735,-2.8857845250512772,-3.8841799942356285
-3.4256312190753704,0.01848112546451075,-3.375410268236704,-2.7826754944335907
-1.6167763531988926,-0.493794547739764,-2.0874978753199365,-1.6697778854913767
-0.8784632306996625,0.9948287830327579,-0.9521411054085,-0.9855903187674833
-0.6212985985913859,1.6369244798872673,-0.6371757034442691,-0.8820296570711745
0.6507977723205887,1.8602402439633199,0.9160440605440879,0.9647420253447021
0.9064935051321983,1.210657585717368,1.813297371131093,1.0854990959796182
-2.868474350904016,-6.1210961636524885,-6.149596085002331,-6.032266310099342
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.017105321454272085,-1.8978182434041675,-2.2614387747785956,-1.5629215315099219
-0.7605715989874859,1.5083129745425083,-1.3095711660857674,-1.4127147842895738
1.6121784883058643,-0.3518433641383728,-1.948916545557373,-0.8869364483697019
1.7335435606536505,1.0126958060221485,0.12612885899562742,-0.06023119341963307
0.0,0.0,0.0,0.0
-4.525795317978477,-6.752022558578593,-6.8751261851129275,-6.800999320624285
0.0,0.0,0.0,0.0
-5.439018564429172,-5.373786000495743,-5.491742319370186,-5.469329987312284
-5.069645045067341,-5.335200963649259,-5.07985019502029,-5.00418766179005
-4.9457585179119405,-2.266442425258324,-4.787987672986007,-4.942480785998728
0.38799448007187276,-2.874760319303326,-4.3052598757453495,-3.2058980561585386
0.7370908863959887,-2.305591153096872,-2.679509680902892,-2.5728541418168893
1.4340353332175706,-2.4718042987773936,-2.420599198679697,-2.3900234273997847
1.5696688091108513,0.07582242152931001,-1.312733689847955,-3.259039885371828
0.0,0.0,0.0,0.0
-5.649561511124653,-6.879140855151039,-6.738838813328431,-6.722407268923654
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-5.18904467752367,-5.400923885661619,-5.294953825897122,-5.720018299977246
-3.454823959219518,-2.8841564456126187,-5.191588161808722,-4.37532934813451
-0.3120282910252252,-4.925813687763982,-4.595111421164052,-4.623860779537656
-1.2676939278614747,-3.917483941193281,-3.992823974477831,-4.052237773441832
0.5869284453065076,-4.545671795134753,-4.476523381343693,-4.783047649021625
0.0,0.0,0.0,0.0
-6.903268174781868,-4.90994967733511,-7.050844104917189,-6.96288019014993
-7.211555887411492,-6.011217532716621,-7.161388517133256,-7.129050896306499
-6.263636832052626,-5.488170753028326,-6.393886913588002,-6.9545406603678535
-6.731370155612419,-5.185650377078168,-6.80399334309806,-5.810439487203689
-6.111993247104449,-4.969876458819298,-6.108806278474663,-6.189136980939502
-4.9576097497543605,-5.301283317771865,-5.4526126266068875,-5.636779177576399
-3.2589369302589617,-4.7798350753592835,-4.76004577766826,-4.6303751367577455
0.0,0.0,0.0,0.0
-0.8811769045062133,-5.909384909540673,-4.940650914986365,-5.6762244361450955
0.0,0.0,0.0,0.0
-4.981513037228642,-6.639933227945889,-7.269388860594458,-7.2702684442313075
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.2337295128145436,-5.062992776154001,-4.376119330932388,-6.189712865657121
0.0,0.0,0.0,0.0
-4.996456594930095,-7.159408351448485,-7.287429948190667,-7.874163075870647
-7.727035072410864,-8.395240320757939,-7.914017482785824,-5.304473619799082
-8.988251807415761,-9.209616086059992,-8.863423096886432,-5.414303685387677
-8.796221238320243,-9.095286922029498,-9.129475885126439,-5.633240747637474
-9.894686612264666,-9.403331962878674,-9.580176309341734,-5.978587185827233
-10.70425399950982,-10.060482035358149,-10.362644921034022,-7.487667211390485
-11.058804165533896,-11.1222573467826,-10.714919295514775,-7.742779398130994
0.0,0.0,0.0,0.0
-2.1537607464798123,-7.322387969678145,-7.254433041062779,-7.378197900762461
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-8.322535623573538,-11.158205630636044,-11.206967000769229,-10.532852180037816
0.0,0.0,0.0,0.0
-3.4693685910646863,-11.015066434705734,-8.628904897038957,-11.165300128508067
0.0,0.0,0.0,0.0
-12.189135893742279,-12.093395336540222,-12.225659262397425,-12.075384658474015
-11.872404904439918,-11.70418526282571,-11.959276475603449,-11.79483952609021
-11.951797747584735,-11.560983486517305,-12.111830206250485,-11.976798963927314
-11.63662751084333,-9.939752877099771,-11.675765840574927,-11.764791072144018
-11.415241808080602,-9.537637432541725,-11.176551594786176,-11.168072804657156
-10.898466993937452,-9.316889122268897,-11.272795804217502,-10.750995563775621
-8.76706903439691,-10.700078638145413,-11.107198024491717,-10.732834054676898
0.0,0.0,0.0,0.0
-3.2162379671590897,-10.520934168056757,-12.487275493474105,-12.34139813370545
-15.374630169589969,-14.197373732804042,-13.672017467538481,-8.049959615730945
-12.992420077828497,-12.746541277431628,-13.03546073635928,-12.835216834396974
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-4.72751558068601,-13.807623976820306,-11.937459305581562,-13.581246761494551
-14.42207586432146,-15.947793048906647,-12.580173805126883,-9.232712711751422
-12.9871911159807,-13.72045635962861,-13.629635154432943,-13.529871019980803
-14.833371081606304,-14.534767629609647,-14.573461890951414,-14.472872772319334
-14.895265793273941,-14.897391603741678,-14.955832723732602,-14.772630043713626
-14.961252586942102,-14.872254856580154,-15.012999745545638,-14.819885410117461
-14.936215553346752,-15.046580152850122,-14.977668563868825,-14.812541621318438
-14.957968600085383,-14.862593116918488,-14.999445957594618,-14.924406853617784
-14.798987701212578,-14.961802102324762,-14.919494798498466,-14.856737209490785
-14.427679074088365,-8.354495281284578,-14.932146969394447,-14.838019099533625
-6.011362790075978,-13.437566551257646,-13.557995052618157,-13.549532046803252
