episode,rewards_epi,epsilon
290,-159.5,0.05
291,-5.5,0.05
292,-10.0,0.05
293,-5.0,0.05
294,-56.5,0.05
295,-9.5,0.05
296,-19.5,0.05
297,-10.0,0.05
298,-41.5,0.05
299,-10.5,0.05
300,-49.0,0.05
301,-9.5,0.05
302,-132.5,0.05
303,-30.0,0.05
304,-35.0,0.05
305,-20.0,0.05
306,0.5,0.05
307,-83.0,0.05
308,-11.5,0.05
309,-22.0,0.05
310,-12.0,0.05
311,-20.5,0.05
312,-2.5,0.05
313,-12.0,0.05
314,-3.5,0.05
315,-13.5,0.05
316,-2.5,0.05
317,-2.5,0.05
318,-6.5,0.05
319,-2.5,0.05
320,-14.5,0.05
321,-9.5,0.05
322,-14.5,0.05
323,-12.5,0.05
324,-4.5,0.05
325,-9.5,0.05
326,-10.5,0.05
327,-7.0,0.05
328,-3.0,0.05
329,-8.5,0.05
330,-11.0,0.05
331,-10.5,0.05
332,-8.0,0.05
333,-7.0,0.05
334,-13.5,0.05
335,-0.5,0.05
336,-16.5,0.05
337,-9.0,0.05
338,-16.5,0.05
339,-5.5,0.05
340,-17.5,0.05
341,-2.5,0.05
342,-3.0,0.05
343,-9.5,0.05
344,-3.5,0.05
345,-8.0,0.05
346,-15.5,0.05
347,-8.0,0.05
348,-9.0,0.05
349,-3.5,0.05
350,-4.5,0.05
351,-1.0,0.05
352,-2.5,0.05
353,-2.0,0.05
354,-6.0,0.05
355,-28.0,0.05
356,-1.5,0.05
357,-7.0,0.05
358,-16.0,0.05
359,-4.5,0.05
360,0.0,0.05
361,-11.5,0.05
362,-1.5,0.05
363,-7.0,0.05
364,-1.5,0.05
365,0.0,0.05
366,-5.0,0.05
367,-1.5,0.05
368,-1.5,0.05
369,-2.0,0.05
370,-5.5,0.05
371,0.0,0.05
372,-2.0,0.05
373,-7.5,0.05
374,-2.0,0.05
375,-2.0,0.05
376,0.0,0.05
377,-4.5,0.05
378,-4.5,0.05
379,0.0,0.05
380,-0.5,0.05
381,-12.0,0.05
382,-4.5,0.05
383,-8.5,0.05
384,-2.0,0.05
385,-7.0,0.05
386,-0.5,0.05
387,-2.0,0.05
388,-7.5,0.05
389,-2.5,0.05
390,-1.0,0.05
391,-2.0,0.05
392,-4.5,0.05
393,-1.0,0.05
394,0.5,0.05
395,-4.0,0.05
396,-3.0,0.05
397,-1.5,0.05
398,-5.0,0.05
399,-4.0,0.05
400,0.0,0.05
401,-2.0,0.05
402,-0.5,0.05
403,-2.0,0.05
404,-10.5,0.05
405,-3.5,0.05
406,-4.0,0.05
407,-2.5,0.05
408,-4.5,0.05
409,-7.0,0.05
410,-4.5,0.05
411,-1.0,0.05
412,-3.5,0.05
413,-4.5,0.05
414,-2.5,0.05
415,-3.0,0.05
416,-1.0,0.05
417,-2.0,0.05
418,0.5,0.05
419,-9.0,0.05
420,-22.5,0.05
421,-4.0,0.05
422,-3.0,0.05
423,0.0,0.05
424,-3.5,0.05
425,-4.5,0.05
426,-2.5,0.05
427,0.0,0.05
428,-4.0,0.05
429,0.0,0.05
430,-6.0,0.05
431,-13.5,0.05
432,-7.5,0.05
433,-1.0,0.05
434,-2.0,0.05
435,0.5,0.05
436,-2.5,0.05
437,-4.5,0.05
438,0.0,0.05
439,-5.5,0.05
440,-1.5,0.05
441,-1.5,0.05
442,-1.5,0.05
443,-1.0,0.05
444,-2.0,0.05
445,-12.5,0.05
446,-4.5,0.05
447,-3.0,0.05
448,-10.5,0.05
449,-2.0,0.05
450,-9.5,0.05
451,-3.0,0.05
452,-3.0,0.05
453,-3.0,0.05
454,-0.5,0.05
455,-0.5,0.05
456,-0.5,0.05
457,-3.0,0.05
458,-1.5,0.05
459,-6.5,0.05
460,-0.5,0.05
461,-4.0,0.05
462,-7.0,0.05
463,-4.0,0.05
464,-4.5,0.05
465,-4.5,0.05
466,-1.5,0.05
467,-5.0,0.05
468,-3.0,0.05
469,-2.0,0.05
470,-2.5,0.05
471,-6.5,0.05
472,-2.5,0.05
473,-2.5,0.05
474,-3.5,0.05
475,-1.0,0.05
476,-1.0,0.05
477,-6.0,0.05
478,-8.0,0.05
479,-5.5,0.05
480,-0.5,0.05
481,-4.5,0.05
482,-2.5,0.05
483,-5.5,0.05
484,-6.5,0.05
485,-1.5,0.05
486,-2.5,0.05
487,-2.0,0.05
488,-3.0,0.05
489,-8.5,0.05
490,-2.0,0.05
491,-5.5,0.05
492,-8.0,0.05
493,-4.5,0.05
494,-2.0,0.05
495,-3.0,0.05
496,-7.5,0.05
497,-8.5,0.05
498,-9.0,0.05
499,-7.5,0.05
500,-38.0,0.05
501,-9.5,0.05
502,-11.0,0.05
503,-4.0,0.05
504,-3.5,0.05
505,-42.5,0.05
506,-17.0,0.05
507,-3.5,0.05
508,-9.0,0.05
509,-8.5,0.05
510,-15.5,0.05
511,-11.0,0.05
512,-14.0,0.05
513,-23.0,0.05
514,-6.0,0.05
515,-7.0,0.05
516,-3.5,0.05
517,-3.5,0.05
518,-6.5,0.05
519,-14.5,0.05
520,-15.0,0.05
521,-8.0,0.05
522,-5.0,0.05
523,-20.0,0.05
524,-7.0,0.05
525,-6.5,0.05
526,0.0,0.05
527,-0.5,0.05
528,-0.5,0.05
529,-7.0,0.05
530,-4.0,0.05
531,0.0,0.05
532,-2.0,0.05
533,-0.5,0.05
534,-1.5,0.05
535,-7.0,0.05
536,-1.5,0.05
537,0.0,0.05
538,-5.5,0.05
539,-6.0,0.05
540,-2.5,0.05
541,-7.0,0.05
542,-2.5,0.05
543,-4.0,0.05
544,-7.5,0.05
545,-7.0,0.05
546,0.5,0.05
547,-2.5,0.05
548,-7.0,0.05
549,0.5,0.05
550,0.0,0.05
551,-3.5,0.05
552,-2.5,0.05
553,0.0,0.05
554,-13.5,0.05
555,-4.5,0.05
556,-5.5,0.05
557,-0.5,0.05
558,-13.0,0.05
559,-0.5,0.05
560,-4.0,0.05
561,-6.0,0.05
562,-6.0,0.05
563,-10.0,0.05
564,-1.0,0.05
565,-9.0,0.05
566,-2.5,0.05
567,-1.0,0.05
568,-2.0,0.05
569,-0.5,0.05
570,-1.5,0.05
571,-4.0,0.05
572,-1.0,0.05
573,0.5,0.05
574,-11.5,0.05
575,-5.0,0.05
576,-6.5,0.05
577,0.0,0.05
578,-8.5,0.05
579,-5.0,0.05
580,0.0,0.05
581,-3.5,0.05
582,-8.0,0.05
583,-19.0,0.05
584,-1.5,0.05
585,-10.5,0.05
586,0.0,0.05
