episode,rewards_epi,epsilon
0,-27.5,0.6999
1,-290.0,0.6998
2,-223.0,0.6997
3,-257.5,0.6996
4,-328.0,0.6995
5,-149.0,0.6994
6,-233.0,0.6993
7,-163.0,0.6992
8,-229.5,0.6991
9,-116.5,0.6990000000000001
10,-40.5,0.6989000000000001
11,-158.0,0.6988000000000001
12,-20.0,0.6987000000000001
13,-19.0,0.6986000000000001
14,-53.0,0.6985000000000001
15,-156.5,0.6984000000000001
16,-50.0,0.6983000000000001
17,-64.5,0.6982000000000002
18,-29.0,0.6981000000000002
19,-43.0,0.6980000000000002
20,-166.5,0.6979000000000002
21,-22.0,0.6978000000000002
22,-181.5,0.6977000000000002
23,-181.0,0.6976000000000002
24,-83.5,0.6975000000000002
25,-53.5,0.6974000000000002
26,-32.5,0.6973000000000003
27,-139.5,0.6972000000000003
28,-212.5,0.6971000000000003
29,-23.5,0.6970000000000003
30,-34.5,0.6969000000000003
31,-13.5,0.6968000000000003
32,-18.0,0.6967000000000003
33,-6.5,0.6966000000000003
34,-65.5,0.6965000000000003
35,-100.5,0.6964000000000004
36,-184.0,0.6963000000000004
37,-50.5,0.6962000000000004
38,-141.5,0.6961000000000004
39,-25.5,0.6960000000000004
40,-77.5,0.6959000000000004
41,-9.0,0.6958000000000004
42,-42.5,0.6957000000000004
43,-77.0,0.6956000000000004
44,-40.0,0.6955000000000005
45,-30.0,0.6954000000000005
46,-58.0,0.6953000000000005
47,-15.0,0.6952000000000005
48,-74.0,0.6951000000000005
49,-128.0,0.6950000000000005
50,-132.0,0.6949000000000005
51,-19.5,0.6948000000000005
52,-32.5,0.6947000000000005
53,-17.5,0.6946000000000006
54,-45.0,0.6945000000000006
55,-46.5,0.6944000000000006
56,-18.5,0.6943000000000006
57,-10.0,0.6942000000000006
58,-97.0,0.6941000000000006
59,-72.5,0.6940000000000006
60,-36.5,0.6939000000000006
61,-11.5,0.6938000000000006
62,-31.0,0.6937000000000006
63,-27.5,0.6936000000000007
64,-16.5,0.6935000000000007
65,-14.5,0.6934000000000007
66,-15.5,0.6933000000000007
67,-19.5,0.6932000000000007
68,-28.5,0.6931000000000007
69,-75.5,0.6930000000000007
