episode,rewards_epi,epsilon
290,-7.5,0.05
291,-1.0,0.05
292,-6.5,0.05
293,-2.0,0.05
294,-0.5,0.05
295,-3.0,0.05
296,-11.5,0.05
297,-5.0,0.05
298,-4.0,0.05
299,-5.5,0.05
300,-5.0,0.05
301,-5.0,0.05
302,-2.0,0.05
303,-5.5,0.05
304,-6.5,0.05
305,-1.5,0.05
306,-8.0,0.05
307,-9.5,0.05
308,-4.5,0.05
309,-4.5,0.05
310,-4.5,0.05
311,-8.0,0.05
312,0.0,0.05
313,-3.0,0.05
314,-2.5,0.05
315,-1.5,0.05
316,-3.0,0.05
317,-1.0,0.05
318,-1.0,0.05
319,-6.5,0.05
320,-3.5,0.05
321,-1.0,0.05
322,-2.0,0.05
323,-1.5,0.05
324,-1.5,0.05
325,-5.5,0.05
326,-0.5,0.05
327,-8.0,0.05
328,-4.0,0.05
329,-3.5,0.05
330,-4.5,0.05
331,-0.5,0.05
332,-4.0,0.05
333,-3.5,0.05
334,-3.5,0.05
335,-1.0,0.05
336,-5.5,0.05
337,-1.0,0.05
338,-4.0,0.05
339,-4.0,0.05
340,-1.0,0.05
341,-5.0,0.05
342,-4.0,0.05
343,-3.5,0.05
344,-5.5,0.05
345,-6.0,0.05
346,-5.5,0.05
347,-0.5,0.05
348,-7.5,0.05
349,-3.0,0.05
350,-5.5,0.05
351,-1.0,0.05
352,-5.5,0.05
353,-4.5,0.05
354,-0.5,0.05
355,0.0,0.05
356,-1.5,0.05
357,-5.0,0.05
358,-2.0,0.05
359,-1.5,0.05
360,-1.5,0.05
361,-6.5,0.05
362,-2.0,0.05
363,-4.5,0.05
364,-3.5,0.05
365,-6.0,0.05
366,0.5,0.05
367,-11.0,0.05
368,-6.0,0.05
369,-1.5,0.05
370,-1.0,0.05
371,-5.0,0.05
372,-1.5,0.05
373,-0.5,0.05
374,-4.5,0.05
375,-2.0,0.05
376,-3.5,0.05
377,-4.0,0.05
378,-1.0,0.05
379,0.0,0.05
380,-4.0,0.05
381,-4.5,0.05
382,-1.0,0.05
383,-0.5,0.05
384,-2.0,0.05
385,-4.0,0.05
386,-1.0,0.05
387,-1.5,0.05
388,-3.0,0.05
389,-1.0,0.05
390,-2.5,0.05
391,-3.0,0.05
392,-3.0,0.05
393,-0.5,0.05
394,-2.0,0.05
395,-3.5,0.05
396,-0.5,0.05
397,-1.0,0.05
398,-4.5,0.05
399,-5.0,0.05
400,-89.0,0.05
401,-3.0,0.05
402,-4.5,0.05
403,-9.0,0.05
404,-9.0,0.05
405,-1.0,0.05
406,-4.0,0.05
407,-5.5,0.05
408,-0.5,0.05
409,0.0,0.05
410,-1.0,0.05
411,-4.0,0.05
412,-3.5,0.05
413,-2.5,0.05
414,-3.5,0.05
415,-4.0,0.05
416,-4.5,0.05
417,-5.0,0.05
418,-3.5,0.05
419,-6.5,0.05
420,-0.5,0.05
421,-2.0,0.05
422,-4.5,0.05
423,-3.5,0.05
424,-1.0,0.05
425,-1.5,0.05
426,0.0,0.05
427,-1.5,0.05
428,-3.5,0.05
429,0.0,0.05
430,-5.0,0.05
431,0.5,0.05
432,-2.0,0.05
433,-4.5,0.05
434,-3.5,0.05
435,-3.5,0.05
436,-4.0,0.05
437,0.5,0.05
438,0.0,0.05
439,-3.0,0.05
440,0.5,0.05
441,-3.0,0.05
442,-6.5,0.05
443,-5.0,0.05
444,0.0,0.05
445,-16.0,0.05
446,-2.5,0.05
447,-1.0,0.05
448,-1.0,0.05
449,-1.5,0.05
450,-2.0,0.05
451,-3.5,0.05
452,-1.5,0.05
453,-5.5,0.05
454,-4.0,0.05
455,-2.0,0.05
456,-5.0,0.05
457,-6.0,0.05
458,-4.0,0.05
459,-1.0,0.05
460,-7.0,0.05
461,-2.0,0.05
462,-3.5,0.05
463,0.0,0.05
464,-3.0,0.05
465,-3.5,0.05
466,-5.0,0.05
467,-2.5,0.05
468,-1.5,0.05
469,-3.0,0.05
470,0.0,0.05
471,-1.0,0.05
472,-3.5,0.05
473,-7.5,0.05
474,-2.0,0.05
475,-2.0,0.05
476,0.0,0.05
477,-1.0,0.05
478,-9.0,0.05
479,-8.5,0.05
480,-3.0,0.05
481,-4.0,0.05
482,0.0,0.05
483,-5.0,0.05
484,0.0,0.05
485,-2.0,0.05
486,-2.5,0.05
487,-7.5,0.05
488,-1.5,0.05
489,-5.0,0.05
490,-5.0,0.05
491,-0.5,0.05
492,-8.0,0.05
493,-2.0,0.05
494,-4.5,0.05
495,-4.5,0.05
496,-7.0,0.05
497,-4.0,0.05
498,-12.0,0.05
499,-4.0,0.05
500,-4.5,0.05
501,-2.0,0.05
502,-2.0,0.05
503,-8.0,0.05
504,-1.0,0.05
505,-3.5,0.05
506,-9.5,0.05
507,-6.0,0.05
508,-4.0,0.05
509,-0.5,0.05
510,-7.0,0.05
511,0.0,0.05
512,-4.0,0.05
513,-4.5,0.05
514,-3.0,0.05
515,-4.0,0.05
516,-10.5,0.05
517,-1.5,0.05
518,-4.0,0.05
519,-1.0,0.05
520,-0.5,0.05
521,-5.0,0.05
522,-4.0,0.05
523,-7.0,0.05
524,-3.0,0.05
525,-1.5,0.05
526,-7.0,0.05
527,-12.5,0.05
528,-2.0,0.05
529,-7.0,0.05
530,-3.0,0.05
531,-9.0,0.05
532,-7.5,0.05
533,-10.5,0.05
534,-1.5,0.05
535,-1.0,0.05
536,-2.5,0.05
537,-1.0,0.05
538,-9.0,0.05
539,-1.0,0.05
540,-0.5,0.05
541,0.0,0.05
542,-3.0,0.05
543,-30.0,0.05
544,-4.5,0.05
545,-3.5,0.05
546,-5.5,0.05
547,-5.5,0.05
548,-3.0,0.05
549,-0.5,0.05
550,-2.0,0.05
551,-4.0,0.05
552,-4.5,0.05
553,-0.5,0.05
554,-4.5,0.05
555,-4.5,0.05
556,-5.5,0.05
557,-4.5,0.05
558,-0.5,0.05
559,-4.0,0.05
560,-9.0,0.05
561,-8.5,0.05
562,-1.0,0.05
563,-1.0,0.05
564,-3.5,0.05
565,-3.5,0.05
566,-7.0,0.05
567,-4.5,0.05
568,-2.5,0.05
569,-4.5,0.05
570,-3.0,0.05
571,-1.0,0.05
572,-0.5,0.05
573,0.5,0.05
574,-1.5,0.05
575,-3.0,0.05
576,-6.5,0.05
577,-1.5,0.05
578,-4.5,0.05
579,-11.5,0.05
580,-0.5,0.05
581,-4.5,0.05
582,-5.0,0.05
583,-2.5,0.05
584,-4.5,0.05
585,-2.0,0.05
586,-4.5,0.05
587,-1.0,0.05
588,-2.0,0.05
589,-4.0,0.05
590,-3.5,0.05
591,-1.5,0.05
592,-2.5,0.05
593,-4.0,0.05
594,-9.5,0.05
595,-5.5,0.05
596,-5.0,0.05
597,-1.5,0.05
598,-8.0,0.05
599,-1.5,0.05
600,-23.0,0.05
601,-89.5,0.05
602,-7.5,0.05
603,0.0,0.05
604,-21.0,0.05
605,-3.0,0.05
606,-8.5,0.05
607,-15.0,0.05
608,0.0,0.05
609,-7.5,0.05
610,-8.0,0.05
611,-5.0,0.05
612,-46.0,0.05
613,-2.0,0.05
614,-2.0,0.05
615,-27.0,0.05
616,-3.0,0.05
617,-3.0,0.05
618,-10.5,0.05
619,0.0,0.05
620,-1.5,0.05
621,-2.0,0.05
622,-1.5,0.05
623,-8.5,0.05
624,-4.5,0.05
625,-5.5,0.05
626,0.0,0.05
627,-5.5,0.05
628,-4.5,0.05
629,-1.0,0.05
630,-3.0,0.05
631,-1.5,0.05
632,-2.0,0.05
633,-4.0,0.05
634,-8.0,0.05
635,-6.0,0.05
636,-1.0,0.05
637,-2.5,0.05
638,-3.0,0.05
639,-4.5,0.05
640,-1.5,0.05
641,-3.0,0.05
642,-2.5,0.05
643,0.0,0.05
644,-5.0,0.05
645,-2.0,0.05
646,-5.5,0.05
647,-2.0,0.05
648,-6.5,0.05
649,-4.5,0.05
650,-5.5,0.05
651,-0.5,0.05
652,-0.5,0.05
653,-2.0,0.05
654,-3.5,0.05
655,-7.5,0.05
656,-1.0,0.05
657,-7.0,0.05
658,0.0,0.05
659,-1.5,0.05
660,-2.5,0.05
661,-2.0,0.05
662,-1.5,0.05
