A0,A1,A2,A3
-0.8444825934026573,0.5215700916760662,-0.7333144622714693,-0.8821571452107059
-0.8711424139527897,0.7573682575004796,-0.4280314962128608,-0.8671918185948202
-0.7452056176012523,1.1234473252877224,-0.7748587592527623,-0.8044310718899053
-0.719712991656783,1.1805015925062798,-0.752645485418702,-0.14048865633763796
0.5668103911673181,1.2259619714194876,0.16651708639336715,0.154501515765156
0.9078567947647527,1.234532652072929,1.3139827600627751,1.05780454685834
1.0762684407498615,1.3276761715877428,1.3875169410288344,1.3431975322827414
1.1525578720075653,1.494665961591009,1.5938936360644762,1.3673563672667852
1.3812527617271044,1.6089801257053007,1.7371917788682407,1.5797784217004398
1.3469237539566568,1.326860261719305,1.9704403207710963,1.4783100755638279
0.06398977665299005,-1.1001757347611898,-1.2842190211129911,-1.0899480420993712
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.2184767049806926,1.38833458720883,1.2591331548952553,0.9647604355056265
1.3801905836708062,1.4780404598252637,1.3269209686600638,1.2950936447016446
1.6585226532178317,1.2240321973638304,0.45923574157631136,1.3573254049545234
1.7177055033915603,1.8959426103850257,1.5953763143386042,1.5797501658075164
0.0,0.0,0.0,0.0
-0.09947595407747686,-1.550485513100164,-1.5256799132341434,-1.2017698101066239
0.0,0.0,0.0,0.0
-0.9841283496591459,-0.9350628171530316,-0.9755324565161048,-0.9910478324025288
-1.1521789489213339,-0.054437160835448285,-1.1545731642028505,-1.0865489919114033
-0.3458349057876837,1.0969527841183908,-1.0847757002617069,-0.595738527564085
1.272621747193443,0.17379038159568938,-0.6655719696623251,0.5890416803622647
0.765983624485224,0.007816978109014456,0.24393032045441748,1.2751500035263543
1.5399748409035152,1.1334015455541566,-0.8584882934091564,1.242187064569465
1.4594448388237433,0.745991598841841,0.6066875860431578,0.475402143605801
0.0,0.0,0.0,0.0
-0.3686867089790081,-1.6943451035613784,-1.5879236067934661,-1.6373427050378662
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.028151552609303188,-1.0237942217325449,-1.0399759957947328,-1.3916926910987784
0.5407223523560746,-0.18174240685009316,-0.9570285782655041,-1.1006200254971026
0.6056971272126964,-1.0460168855348173,-0.9162701765583896,-0.668382538530011
0.13585042460558377,-0.3031345324687208,-0.7203270662297019,-0.555500635889368
0.9384982074711252,-0.3247268502641473,-0.6328783166693036,-0.41165855424354114
0.0,0.0,0.0,0.0
-1.0531346571606122,-1.5630339589703182,-1.568210865197454,-1.62564994395634
-1.8454990207358073,-1.7908609093582823,-1.7805874321587325,-1.6449446888621375
-1.9735520216743518,-1.8891436379756337,-1.9182385169213434,-1.844634645567235
-1.6932575602159927,-1.348341194656415,-1.7382502702706746,-1.7096953463445757
-1.6026498942269989,-1.2176053931703572,-1.5725902052661014,-1.492139923893137
-1.2687062356596388,-0.3161450779351952,-1.227452637507217,-1.2572867821734794
-0.21877931034798093,-0.8406669629993163,-0.9507316495204964,-0.9946628667628497
0.0,0.0,0.0,0.0
0.6057986918416784,-0.24222970197709404,-0.12061121301494608,-0.2759435178483607
0.0,0.0,0.0,0.0
-1.3454122633920151,-2.1369145362112967,-2.1223567236025103,-2.1743254046543585
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.3594605390440517,-0.3559179568490075,-0.8746207660993082,-0.3804925205085453
0.0,0.0,0.0,0.0
-1.6544541615160504,-2.0892302263032083,-2.2087266733258932,-2.19544224972246
-2.209132992690561,-2.4179149830228104,-2.296669253287035,-1.8235118729119064
-2.7438694301234823,-2.784229699934568,-2.802923757112775,-2.228245618830062
-2.8092948188951703,-2.852040450703466,-2.824118384380858,-2.24411228845843
-2.8227856474927475,-2.763765236939707,-2.799814308433815,-2.3869337097691634
-3.090121430177042,-3.076831807499978,-3.105582896075775,-2.63802769984518
-2.9039640529509048,-2.977688265182544,-2.9215006417518823,-2.7132131380382782
0.0,0.0,0.0,0.0
-0.7390788858558894,-1.4642832620890853,-1.789421980519548,-1.4144540308617117
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-2.8724280443571684,-3.276198154313275,-3.312887584513155,-3.2889830970965024
0.0,0.0,0.0,0.0
-1.548002319682651,-2.4616303961471244,-2.426686658624544,-2.9785652981370188
0.0,0.0,0.0,0.0
-4.298525233758025,-3.798449803939823,-4.1147059862821305,-4.20606042645805
-4.043930205456783,-3.627859548064534,-4.145368768414335,-4.031829410886477
-4.229345150997996,-3.5781399283543305,-4.114192705376516,-4.113585832055941
-3.7414139268670583,-3.1470095498071387,-3.674943977799335,-3.7605580144064663
-3.6741550243643233,-2.993000584337891,-3.7530005121565755,-3.766759578642857
-3.6768509420103612,-2.9801187438567074,-3.4915317283494667,-3.5376751314838257
-2.863013018900141,-3.493159800751392,-3.4467460520502686,-3.357703178063861
0.0,0.0,0.0,0.0
