episode,rewards_epi,epsilon
0,-24.5,0.05
1,-33.5,0.05
2,-15.5,0.05
3,-17.5,0.05
4,-18.5,0.05
5,-14.5,0.05
6,-17.5,0.05
7,-40.0,0.05
8,-31.5,0.05
9,-22.0,0.05
10,-19.5,0.05
11,-42.5,0.05
12,-17.5,0.05
13,-18.5,0.05
14,-18.5,0.05
15,-20.5,0.05
16,-21.0,0.05
17,-24.5,0.05
18,-25.5,0.05
19,-18.0,0.05
20,-22.5,0.05
21,-16.5,0.05
22,-21.5,0.05
23,-23.5,0.05
24,-15.5,0.05
25,-20.0,0.05
26,-15.0,0.05
27,-34.5,0.05
28,-21.5,0.05
29,-16.0,0.05
30,-30.0,0.05
31,-7.5,0.05
32,-16.0,0.05
33,-27.0,0.05
34,-21.5,0.05
35,-16.5,0.05
36,-16.0,0.05
37,-15.0,0.05
38,-21.0,0.05
39,-15.5,0.05
40,-24.0,0.05
41,-17.0,0.05
42,-24.0,0.05
43,-24.5,0.05
44,-36.0,0.05
45,-10.0,0.05
46,-19.0,0.05
47,-55.5,0.05
48,-19.0,0.05
49,-26.5,0.05
50,-18.0,0.05
51,-22.0,0.05
52,-21.0,0.05
53,-16.0,0.05
54,-12.0,0.05
55,-29.0,0.05
56,-21.5,0.05
57,-35.5,0.05
58,-16.0,0.05
59,-21.5,0.05
60,-9.5,0.05
61,-15.5,0.05
62,-20.0,0.05
63,-19.0,0.05
64,-16.5,0.05
65,-21.0,0.05
66,-21.0,0.05
67,-20.5,0.05
68,-40.0,0.05
69,-18.0,0.05
70,-18.5,0.05
71,-15.0,0.05
72,-23.5,0.05
73,-11.5,0.05
74,-22.5,0.05
75,-18.5,0.05
76,-19.0,0.05
77,-9.5,0.05
78,-16.0,0.05
79,-22.0,0.05
80,-19.5,0.05
81,-49.5,0.05
82,-10.0,0.05
83,-21.5,0.05
84,-0.5,0.05
85,-11.5,0.05
86,-19.5,0.05
87,-19.5,0.05
88,-16.0,0.05
89,-18.5,0.05
90,-11.0,0.05
91,-14.5,0.05
92,-17.0,0.05
93,-15.5,0.05
94,-17.0,0.05
95,-19.5,0.05
96,-20.0,0.05
97,-17.0,0.05
98,-20.0,0.05
99,-15.0,0.05
100,-18.0,0.05
101,-23.0,0.05
102,-13.5,0.05
103,-15.0,0.05
104,-27.0,0.05
105,-16.0,0.05
106,-13.5,0.05
107,-14.5,0.05
108,-17.0,0.05
109,-16.0,0.05
110,-18.0,0.05
111,-15.5,0.05
112,-15.0,0.05
113,-14.5,0.05
114,-19.0,0.05
115,-23.5,0.05
116,-15.5,0.05
117,-19.0,0.05
118,-17.5,0.05
119,-23.5,0.05
120,-15.0,0.05
121,-3.0,0.05
122,-16.5,0.05
123,-21.0,0.05
124,-17.0,0.05
125,-14.5,0.05
126,-12.0,0.05
127,-21.5,0.05
128,-20.0,0.05
129,-17.0,0.05
130,-11.5,0.05
131,-18.5,0.05
132,-24.0,0.05
133,-18.5,0.05
134,-7.5,0.05
135,-25.5,0.05
136,-17.0,0.05
137,-16.0,0.05
138,-13.5,0.05
139,-5.0,0.05
140,-15.5,0.05
141,-18.5,0.05
142,-15.0,0.05
143,-18.0,0.05
144,-15.0,0.05
145,-18.0,0.05
146,-17.5,0.05
147,-21.5,0.05
148,-21.0,0.05
149,-22.5,0.05
150,-18.5,0.05
151,-12.0,0.05
152,-19.5,0.05
153,-12.5,0.05
154,-10.5,0.05
155,-17.5,0.05
156,-19.5,0.05
157,-7.0,0.05
158,-14.5,0.05
159,-17.0,0.05
160,-15.5,0.05
161,-13.5,0.05
162,-14.5,0.05
163,-12.5,0.05
164,-18.0,0.05
165,-13.5,0.05
166,-20.5,0.05
167,-15.5,0.05
168,-11.5,0.05
169,-12.5,0.05
170,-5.5,0.05
171,-4.0,0.05
172,0.5,0.05
173,-3.5,0.05
174,0.0,0.05
175,-7.5,0.05
176,-1.5,0.05
177,-0.5,0.05
178,-0.5,0.05
179,-2.5,0.05
180,-5.0,0.05
181,-5.5,0.05
182,-1.0,0.05
183,-1.0,0.05
184,-2.0,0.05
185,-5.0,0.05
186,-1.0,0.05
187,-3.5,0.05
188,-4.0,0.05
189,-3.0,0.05
190,-4.0,0.05
191,-6.5,0.05
192,-16.5,0.05
193,-8.5,0.05
194,-20.5,0.05
195,-16.0,0.05
196,-21.5,0.05
197,-23.5,0.05
198,-16.0,0.05
199,-20.0,0.05
200,-9.0,0.05
201,-21.0,0.05
202,-15.0,0.05
203,-18.5,0.05
204,-18.5,0.05
205,-14.0,0.05
206,-6.5,0.05
207,-14.0,0.05
208,-7.0,0.05
209,-19.5,0.05
210,-16.5,0.05
211,-12.5,0.05
212,-18.5,0.05
213,-14.0,0.05
214,-14.5,0.05
215,-17.5,0.05
216,-15.0,0.05
217,-21.5,0.05
218,-13.5,0.05
219,-17.5,0.05
220,-13.5,0.05
221,-3.5,0.05
222,-16.0,0.05
223,-18.0,0.05
224,-17.0,0.05
225,-15.5,0.05
226,-17.5,0.05
227,0.0,0.05
228,-15.0,0.05
229,-18.5,0.05
230,-21.5,0.05
231,-14.0,0.05
232,-15.5,0.05
233,-4.0,0.05
234,-22.5,0.05
235,-17.0,0.05
236,-14.5,0.05
237,-21.5,0.05
238,-21.0,0.05
239,-8.0,0.05
240,-21.5,0.05
241,-20.0,0.05
242,-5.0,0.05
243,-16.5,0.05
244,-11.5,0.05
245,-8.0,0.05
246,-21.0,0.05
247,-14.0,0.05
248,-5.0,0.05
249,-7.0,0.05
250,-1.0,0.05
251,-3.5,0.05
252,-1.0,0.05
253,-20.0,0.05
254,-23.0,0.05
255,-4.0,0.05
256,-2.5,0.05
257,-1.5,0.05
258,-3.5,0.05
259,-6.0,0.05
260,-8.0,0.05
261,-4.5,0.05
262,-0.5,0.05
263,-6.5,0.05
264,-4.0,0.05
265,-0.5,0.05
266,-4.5,0.05
267,-17.0,0.05
268,-3.0,0.05
269,0.5,0.05
270,-3.5,0.05
271,-4.5,0.05
272,-3.5,0.05
273,-3.0,0.05
274,-30.0,0.05
275,-1.5,0.05
276,-3.0,0.05
277,-10.5,0.05
278,-2.0,0.05
279,-6.0,0.05
280,-4.5,0.05
281,-6.5,0.05
282,-2.0,0.05
283,-14.5,0.05
284,-3.0,0.05
285,-2.0,0.05
286,-9.0,0.05
287,-4.5,0.05
288,-2.0,0.05
289,-3.5,0.05
290,-5.0,0.05
291,-1.5,0.05
292,-7.5,0.05
293,-2.5,0.05
294,-4.0,0.05
295,-2.5,0.05
296,-11.0,0.05
297,-5.0,0.05
298,-1.0,0.05
299,-7.0,0.05
300,-9.0,0.05
301,0.5,0.05
302,-5.0,0.05
303,-2.0,0.05
304,-4.5,0.05
305,-3.5,0.05
306,-0.5,0.05
307,-2.0,0.05
308,-3.5,0.05
309,-4.0,0.05
310,-0.5,0.05
311,-5.0,0.05
312,-5.0,0.05
313,-1.5,0.05
314,-1.5,0.05
315,-2.0,0.05
316,-13.0,0.05
317,-2.5,0.05
318,-9.5,0.05
319,-1.0,0.05
320,-1.5,0.05
321,-3.0,0.05
322,-5.0,0.05
323,-6.0,0.05
324,-2.0,0.05
325,-2.0,0.05
326,-2.0,0.05
327,-3.0,0.05
328,0.0,0.05
329,0.0,0.05
330,-7.5,0.05
331,-0.5,0.05
332,-0.5,0.05
333,-1.0,0.05
334,0.0,0.05
335,-6.0,0.05
336,0.0,0.05
337,-1.0,0.05
338,-3.0,0.05
339,-10.5,0.05
340,-8.0,0.05
341,-4.0,0.05
342,-16.5,0.05
343,-4.5,0.05
344,-1.0,0.05
345,-5.0,0.05
346,-15.0,0.05
347,-6.5,0.05
348,-9.0,0.05
349,-5.5,0.05
350,-3.0,0.05
351,-17.0,0.05
352,-0.5,0.05
353,-3.5,0.05
354,-2.0,0.05
355,-4.0,0.05
356,-9.0,0.05
357,-3.0,0.05
358,-2.0,0.05
359,-3.0,0.05
360,-1.0,0.05
361,-6.5,0.05
362,-1.0,0.05
363,-5.0,0.05
364,-5.5,0.05
365,-4.0,0.05
366,-6.5,0.05
367,0.5,0.05
368,-0.5,0.05
369,-3.5,0.05
370,-3.5,0.05
371,-3.5,0.05
372,-2.0,0.05
373,-1.5,0.05
374,-10.5,0.05
375,0.5,0.05
376,-1.5,0.05
377,-3.0,0.05
378,-2.5,0.05
379,-3.0,0.05
380,-1.0,0.05
381,-6.5,0.05
382,-6.5,0.05
383,-2.0,0.05
384,-2.5,0.05
385,-4.5,0.05
386,0.0,0.05
387,-1.5,0.05
388,-4.0,0.05
389,-12.0,0.05
390,-2.5,0.05
391,-2.5,0.05
392,-6.5,0.05
393,-3.5,0.05
394,-4.0,0.05
395,-3.5,0.05
396,-1.5,0.05
397,-2.5,0.05
398,-1.0,0.05
399,-2.0,0.05
400,-5.0,0.05
401,-3.0,0.05
402,-10.5,0.05
403,-4.5,0.05
404,-7.5,0.05
405,0.0,0.05
406,-28.5,0.05
407,-3.5,0.05
408,-2.0,0.05
409,-3.0,0.05
410,-3.0,0.05
411,-2.0,0.05
412,-7.5,0.05
413,-2.0,0.05
414,-0.5,0.05
415,-1.5,0.05
416,-8.5,0.05
417,-6.5,0.05
418,-6.0,0.05
419,-5.5,0.05
420,-6.5,0.05
421,-6.5,0.05
422,-4.5,0.05
423,0.5,0.05
424,0.0,0.05
425,-4.5,0.05
426,-4.0,0.05
427,-2.5,0.05
428,-1.0,0.05
429,-3.0,0.05
430,-10.0,0.05
431,-1.5,0.05
432,0.0,0.05
433,-0.5,0.05
434,-3.0,0.05
435,-4.5,0.05
436,-8.5,0.05
437,-3.0,0.05
438,-8.0,0.05
439,-0.5,0.05
440,-7.0,0.05
441,-24.0,0.05
442,-7.5,0.05
443,-3.5,0.05
444,-2.5,0.05
445,-2.5,0.05
446,-3.0,0.05
447,-6.0,0.05
448,-2.0,0.05
449,-4.5,0.05
450,-3.0,0.05
451,-1.0,0.05
452,0.5,0.05
453,-3.5,0.05
454,0.0,0.05
455,-2.0,0.05
456,-2.0,0.05
457,-8.5,0.05
458,-2.5,0.05
459,-6.5,0.05
460,-24.0,0.05
461,-2.0,0.05
462,-2.5,0.05
463,-1.0,0.05
464,-0.5,0.05
465,-1.5,0.05
466,-2.5,0.05
467,-1.0,0.05
468,-3.5,0.05
469,-3.5,0.05
470,-4.5,0.05
471,0.5,0.05
472,-2.5,0.05
473,0.0,0.05
474,-5.5,0.05
475,-2.0,0.05
476,-11.0,0.05
477,-1.0,0.05
478,-8.5,0.05
479,-8.0,0.05
480,-2.0,0.05
481,-7.5,0.05
482,-4.5,0.05
483,-2.5,0.05
484,-1.5,0.05
485,-8.0,0.05
486,-4.0,0.05
487,-2.5,0.05
488,-6.0,0.05
489,-1.5,0.05
490,-10.0,0.05
491,0.5,0.05
492,0.0,0.05
493,-2.5,0.05
494,-6.0,0.05
495,-10.0,0.05
496,-10.5,0.05
497,-6.5,0.05
498,-8.5,0.05
499,-5.5,0.05
500,-5.5,0.05
501,-1.0,0.05
502,-2.0,0.05
503,-8.5,0.05
504,-3.0,0.05
505,-1.5,0.05
506,-5.5,0.05
507,-5.0,0.05
508,-9.5,0.05
509,-5.0,0.05
510,-10.0,0.05
