episode,rewards_epi,epsilon
0,-50.0,0.05
1,-19.0,0.05
2,-28.0,0.05
3,-56.0,0.05
4,-22.5,0.05
5,-32.5,0.05
6,-24.5,0.05
7,-15.5,0.05
8,-19.0,0.05
9,-53.5,0.05
10,-22.5,0.05
11,-22.5,0.05
12,-51.0,0.05
13,-15.5,0.05
14,-15.5,0.05
15,-23.0,0.05
16,-22.0,0.05
17,-27.5,0.05
18,-46.0,0.05
19,-19.0,0.05
20,-23.0,0.05
21,-22.0,0.05
22,-36.0,0.05
23,-32.5,0.05
24,-20.0,0.05
25,-20.5,0.05
26,-19.0,0.05
27,-27.5,0.05
28,-17.5,0.05
29,-29.0,0.05
30,-17.0,0.05
31,-16.5,0.05
32,-15.5,0.05
33,-20.0,0.05
34,-19.5,0.05
35,-16.5,0.05
36,-8.5,0.05
37,-21.5,0.05
38,-10.0,0.05
39,-19.0,0.05
40,-17.5,0.05
41,-19.5,0.05
42,-18.5,0.05
43,-19.0,0.05
44,-19.0,0.05
45,-16.0,0.05
46,-16.5,0.05
47,-8.0,0.05
48,-15.0,0.05
49,-16.5,0.05
50,-21.5,0.05
51,-21.0,0.05
52,-17.0,0.05
53,-17.5,0.05
54,-18.5,0.05
55,-20.5,0.05
56,-12.0,0.05
57,-17.5,0.05
58,-15.5,0.05
59,-23.5,0.05
60,-12.0,0.05
61,-14.5,0.05
62,-15.0,0.05
63,-21.0,0.05
64,-18.5,0.05
65,-21.5,0.05
66,-13.0,0.05
67,-14.0,0.05
68,-5.5,0.05
69,-14.0,0.05
70,-45.0,0.05
71,-22.0,0.05
72,-23.5,0.05
73,-23.0,0.05
74,-17.0,0.05
75,-21.5,0.05
76,-19.0,0.05
77,-13.0,0.05
78,-13.5,0.05
79,-19.5,0.05
80,-18.5,0.05
81,-30.5,0.05
82,-16.5,0.05
83,-21.5,0.05
84,-19.5,0.05
85,-18.5,0.05
86,-19.5,0.05
87,-22.0,0.05
88,-22.5,0.05
89,-16.0,0.05
90,-17.5,0.05
91,-15.5,0.05
92,-23.0,0.05
93,-16.0,0.05
94,-16.5,0.05
95,-19.5,0.05
96,-13.5,0.05
97,-19.0,0.05
98,-31.5,0.05
99,-10.0,0.05
100,-3.5,0.05
101,-6.0,0.05
102,-20.0,0.05
103,-4.0,0.05
104,-18.0,0.05
105,-19.0,0.05
106,-16.0,0.05
107,-19.5,0.05
108,-17.5,0.05
109,-19.0,0.05
110,-19.0,0.05
111,-23.0,0.05
112,-17.0,0.05
113,-17.0,0.05
114,-18.0,0.05
115,-17.0,0.05
116,-21.0,0.05
117,-17.0,0.05
118,-17.0,0.05
119,-30.5,0.05
120,-18.5,0.05
121,-17.5,0.05
122,-22.0,0.05
123,-14.0,0.05
124,-16.5,0.05
125,-21.0,0.05
126,-19.5,0.05
127,-22.0,0.05
128,-28.0,0.05
129,-21.0,0.05
130,-6.0,0.05
131,-7.5,0.05
132,-6.0,0.05
133,0.0,0.05
134,-8.5,0.05
135,-6.0,0.05
136,-4.5,0.05
137,-5.0,0.05
138,-5.0,0.05
139,-3.0,0.05
140,-5.0,0.05
141,-2.5,0.05
142,-4.5,0.05
143,-3.0,0.05
144,-10.5,0.05
145,-2.5,0.05
146,-4.0,0.05
147,-10.0,0.05
148,-27.5,0.05
149,-1.0,0.05
150,-18.5,0.05
151,-17.5,0.05
152,-15.5,0.05
153,-11.0,0.05
154,-4.0,0.05
155,-10.0,0.05
156,-16.5,0.05
157,-21.0,0.05
158,-20.0,0.05
159,-16.0,0.05
160,-18.0,0.05
161,-21.0,0.05
162,-10.0,0.05
163,0.0,0.05
164,-16.5,0.05
165,-17.5,0.05
166,-4.5,0.05
167,-22.0,0.05
168,-16.5,0.05
169,-5.5,0.05
170,-2.5,0.05
171,-13.0,0.05
172,-1.5,0.05
173,-2.0,0.05
174,-1.0,0.05
175,-1.5,0.05
176,0.0,0.05
177,-2.5,0.05
178,-2.5,0.05
179,-6.5,0.05
180,-13.5,0.05
181,-4.0,0.05
182,-10.5,0.05
183,-0.5,0.05
184,-9.5,0.05
185,-2.0,0.05
186,-1.0,0.05
187,-5.0,0.05
188,-0.5,0.05
189,-2.0,0.05
190,-1.5,0.05
191,-0.5,0.05
192,0.0,0.05
193,-0.5,0.05
194,-2.5,0.05
195,-2.0,0.05
196,-15.5,0.05
197,-11.5,0.05
198,-13.0,0.05
199,-3.5,0.05
200,-4.0,0.05
201,-18.5,0.05
202,-15.0,0.05
203,-2.5,0.05
204,0.0,0.05
205,-8.0,0.05
206,-2.5,0.05
207,-16.5,0.05
208,-18.5,0.05
209,-8.0,0.05
210,-3.5,0.05
211,0.5,0.05
212,-6.0,0.05
213,-4.0,0.05
214,-3.0,0.05
215,-10.5,0.05
216,-15.5,0.05
217,-0.5,0.05
218,-11.0,0.05
219,-0.5,0.05
220,-9.0,0.05
221,-26.5,0.05
222,-20.5,0.05
223,-5.5,0.05
224,-7.0,0.05
225,-6.0,0.05
226,-2.5,0.05
227,-14.0,0.05
228,-16.0,0.05
229,-1.5,0.05
230,-1.5,0.05
231,-6.5,0.05
232,-8.5,0.05
233,-16.0,0.05
234,-3.5,0.05
235,-6.0,0.05
236,-7.0,0.05
237,-15.5,0.05
238,-18.5,0.05
239,-16.5,0.05
240,-15.0,0.05
241,-13.5,0.05
242,-8.0,0.05
243,-15.5,0.05
244,-20.0,0.05
245,-13.0,0.05
246,-7.5,0.05
247,-15.0,0.05
248,-16.5,0.05
249,-14.5,0.05
250,-17.5,0.05
251,-10.5,0.05
252,-19.0,0.05
253,-10.0,0.05
254,-15.5,0.05
255,-17.5,0.05
256,-18.0,0.05
257,-13.5,0.05
258,-16.0,0.05
259,-14.0,0.05
260,-2.0,0.05
261,-16.5,0.05
262,-14.5,0.05
263,-5.0,0.05
264,-7.0,0.05
265,-10.0,0.05
266,-13.5,0.05
267,-2.0,0.05
268,-2.5,0.05
269,-10.5,0.05
270,-20.5,0.05
271,-14.0,0.05
272,-16.0,0.05
273,-15.5,0.05
274,-10.5,0.05
275,-7.5,0.05
276,-17.0,0.05
277,-17.5,0.05
278,-11.0,0.05
279,-7.5,0.05
280,-8.0,0.05
281,-4.5,0.05
282,-14.0,0.05
283,-9.0,0.05
284,-5.5,0.05
285,-2.5,0.05
286,-5.0,0.05
287,-14.5,0.05
288,-11.5,0.05
289,0.0,0.05
290,-1.5,0.05
291,-5.0,0.05
292,-15.5,0.05
293,-5.5,0.05
294,-15.5,0.05
295,-10.5,0.05
296,-5.5,0.05
297,-21.0,0.05
298,-18.0,0.05
299,-13.0,0.05
300,-22.0,0.05
301,-2.5,0.05
302,-18.5,0.05
303,0.0,0.05
304,-12.0,0.05
305,-9.5,0.05
306,-4.5,0.05
307,-22.5,0.05
308,-5.5,0.05
309,-9.0,0.05
310,-12.5,0.05
311,-16.5,0.05
312,-5.5,0.05
313,-11.5,0.05
314,-6.5,0.05
315,-5.0,0.05
316,-17.5,0.05
317,-2.0,0.05
318,-22.0,0.05
319,-5.0,0.05
320,-4.5,0.05
321,0.5,0.05
322,-5.5,0.05
323,-1.5,0.05
324,-2.5,0.05
325,-8.0,0.05
326,-6.5,0.05
327,-8.5,0.05
328,-0.5,0.05
329,-2.0,0.05
330,-1.5,0.05
331,-19.0,0.05
332,-1.5,0.05
333,-2.5,0.05
334,-1.5,0.05
335,-21.0,0.05
336,-3.5,0.05
337,-22.0,0.05
338,-2.0,0.05
339,-4.5,0.05
340,-3.5,0.05
341,-0.5,0.05
342,-3.0,0.05
343,-2.5,0.05
344,-3.0,0.05
345,-3.5,0.05
346,-3.0,0.05
347,-10.5,0.05
348,-0.5,0.05
349,-19.5,0.05
350,-6.5,0.05
351,-2.0,0.05
352,-2.0,0.05
353,-4.5,0.05
354,-8.0,0.05
355,-6.0,0.05
356,0.0,0.05
357,-4.5,0.05
358,-2.5,0.05
359,-22.5,0.05
360,0.0,0.05
361,-4.0,0.05
362,0.0,0.05
363,-1.5,0.05
364,0.5,0.05
365,-2.5,0.05
366,-6.0,0.05
367,-4.5,0.05
368,0.0,0.05
369,-2.5,0.05
370,-6.0,0.05
371,-1.0,0.05
372,-1.5,0.05
373,-3.0,0.05
374,-3.0,0.05
375,-3.5,0.05
376,-0.5,0.05
377,-1.5,0.05
378,-5.0,0.05
379,-7.0,0.05
380,-7.5,0.05
381,-2.0,0.05
382,0.5,0.05
383,-3.0,0.05
384,-9.0,0.05
385,-5.5,0.05
386,-10.0,0.05
387,-5.5,0.05
388,-9.5,0.05
389,-0.5,0.05
390,-4.5,0.05
391,-6.0,0.05
392,-6.5,0.05
393,-1.5,0.05
394,-1.5,0.05
395,-1.5,0.05
396,-5.0,0.05
397,-2.0,0.05
398,-14.5,0.05
399,-4.0,0.05
400,-2.5,0.05
401,-5.5,0.05
402,0.0,0.05
403,-1.0,0.05
404,0.5,0.05
405,-10.5,0.05
406,-2.0,0.05
407,-7.5,0.05
408,0.0,0.05
409,-6.0,0.05
410,-1.0,0.05
411,-1.0,0.05
412,-2.5,0.05
413,-3.0,0.05
414,-3.0,0.05
415,-7.5,0.05
416,0.0,0.05
417,-5.5,0.05
418,-1.0,0.05
419,-6.5,0.05
420,-2.5,0.05
421,-11.5,0.05
422,-1.0,0.05
423,-1.0,0.05
424,-2.5,0.05
425,-2.0,0.05
426,-5.0,0.05
427,-1.0,0.05
428,-4.0,0.05
429,0.5,0.05
430,-2.5,0.05
431,-1.0,0.05
432,-3.0,0.05
433,-2.5,0.05
434,-4.5,0.05
435,-7.5,0.05
436,-4.5,0.05
437,0.0,0.05
438,-2.5,0.05
439,-1.0,0.05
440,-11.0,0.05
441,-3.0,0.05
442,-27.5,0.05
443,-1.5,0.05
